Column1,Rank,Family,Genus,Species,Museum_code,Museum_country,Publication,Museum_only,In_PBDB,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Age_resolution,Max_period,Min_period,early_stage,late_stage,max_ma,min_ma,interval_mid_ma,n_bins,bin_assignment,overlap_percentage,Finalised_lith,Finalised_grainsize,p_lng,p_lat,Combined_name,Finalised_grainsize_simp
543,Genus,Palaechinidae,Lovenechinus,sp.,BMNH,England,NONE,1,NA,"Great Dunnow Ca. 1 miles S.W. of Standburn, Lancs. Grid Ref SD 702510",Europe,England,53.954,-2.456,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,-44.9703,2.3542,Lovenechinus,NA
544,Genus,Palaechinidae,Lovenechinus,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.2653,-3.7905,Lovenechinus,NA
545,Genus,Palaechinidae,Maccoya,sp.,BMNH,England,NONE,1,NA,"Clitheroe, Lancashire",Europe,England,53.889,-2.372,Minutes,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,0.2908,-3.8958,Maccoya,Coarse Grained
546,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,0.2653,-3.7905,Melonechinus,Coarse Grained
547,Species,Palaechinidae,Melonechinus,etheridgi,BMNH,England,NONE,1,NA,"Pimlico Quarry, Clitheroe, Lancashire",Europe,England,53.886,-2.38,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Wackestone,-1.0658,-11.8743,Melonechinus etheridgi,Fine Grained
548,Species,Palaechinidae,Melonechinus,etheridgi,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Wackestone,0.2653,-3.7905,Melonechinus etheridgi,Fine Grained
549,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Limekiln pit, Narrowdale Farm, N. Staffs",Europe,England,53.114,-1.815,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Packstone,0.1908,-3.7893,Melonechinus,Coarse Grained
550,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Bellman Quarry, Clitheroe Lanes N.G. Ref 763429",Europe,England,53.891,-2.367,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,0.4056,-7.1574,Melonechinus,Coarse Grained
551,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.2653,-3.7905,Melonechinus,NA
552,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,From second railway cutting W. of Southerndown roadstation in the Vale of Glam or gan near Bridgend South Wales,Europe,Wales,51.464,-3.569,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,-44.6958,-7.0876,Melonechinus,Coarse Grained
553,Genus,Lepidesthidae,Lepidesthes,sp.,BMNH,England,NONE,1,NA,"Braidwood, S of Carluke, Lanarkshire ",Europe,Scotland,55.708,-3.833,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Serpukhovian,Serpukhovian,330.9,323.2,327.05,1,68,100,Carbonate,Wackestone,-44.4727,4.8156,Lepidesthes,Fine Grained
554,Species,Archaeocidaridae,Archaeocidaris,urei,BMNH,England,NONE,1,NA,"Craigenglen, Campsie, Scotland",Europe,Scotland,55.964,-4.164,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Packstone,-1.5568,-6.3403,Archaeocidaris urei,Coarse Grained
555,Genus,Archaeocidaridae,Lepidocidaris,sp.,BMNH,England,NONE,1,NA,"Coplow, Clitheroe, Lancashire",Europe,England,53.884,-2.381,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.2653,-3.7905,Lepidocidaris,NA
